Method,Parameter,NumFeatures,Accuracy,Std,Idx
RFE,15.0,15,0.5155555555555555,0.03572874486847451,37
VarianceThreshold,0.3,19,0.5111111111111111,0.032010800646417634,1
RFE,20.0,20,0.5088888888888888,0.038904758666692435,38
MutualInfo_Classification,15.0,15,0.5066666666666666,0.01625415426480866,7
RFE,35.0,35,0.5044444444444445,0.04586614986788955,41
VarianceThreshold,0.9,14,0.5033333333333333,0.01431566525191682,2
MutualInfo_Classification,25.0,25,0.5022222222222222,0.017069212773041364,9
MutualInfo_Regression,15.0,15,0.5011111111111111,0.008888888888888873,22
MutualInfo_Regression,20.0,20,0.4988888888888889,0.011863420280034806,23
MutualInfo_Classification,40.0,40,0.4988888888888889,0.03359159212851328,12
RFE,55.0,55,0.4966666666666667,0.024745619390355647,45
RFE,10.0,10,0.4966666666666667,0.033259176771323916,36
MutualInfo_Classification,10.0,10,0.4966666666666667,0.02424158247696824,6
MutualInfo_Classification,7.0,7,0.4955555555555556,0.032087842395985874,5
MutualInfo_Regression,10.0,10,0.4955555555555556,0.03170076137263801,21
MutualInfo_Regression,5.0,5,0.49444444444444446,0.03201080064641764,19
RFE,40.0,40,0.49333333333333335,0.05251689910265099,42
MutualInfo_Regression,25.0,25,0.49333333333333335,0.008164965809277258,24
MutualInfo_Classification,45.0,45,0.49333333333333335,0.030912061651652327,13
MutualInfo_Classification,20.0,20,0.49333333333333335,0.01968893905185483,8
MutualInfo_Classification,5.0,5,0.49333333333333335,0.024695678634325396,4
RFE,50.0,50,0.4922222222222222,0.02867441755680875,44
MutualInfo_Regression,7.0,7,0.49111111111111116,0.032885885748775,20
RFE,30.0,30,0.49000000000000005,0.053679432574138486,40
RFE,25.0,25,0.48999999999999994,0.04809969071536301,39
MutualInfo_Classification,30.0,30,0.4866666666666667,0.02096440251568135,10
MutualInfo_Classification,60.0,60,0.4866666666666667,0.022388268532899887,16
MutualInfo_Regression,30.0,30,0.4833333333333333,0.009938079899999062,25
MutualInfo_Regression,35.0,35,0.4833333333333333,0.016850834320114548,26
RFE,60.0,60,0.4833333333333333,0.028760398012321747,46
MutualInfo_Classification,35.0,35,0.4822222222222223,0.025190631219454755,11
MutualInfo_Classification,70.0,70,0.4822222222222222,0.025434495871687997,17
RFE,45.0,45,0.4811111111111111,0.03154459903684087,43
RFE,70.0,70,0.47888888888888886,0.021773242158072692,47
MutualInfo_Regression,50.0,50,0.47777777777777775,0.01825741858350552,29
RFE,7.0,7,0.47555555555555556,0.02735229694464705,35
MutualInfo_Regression,40.0,40,0.47555555555555556,0.015555555555555543,27
All Features,,78,0.47444444444444445,0.025962936545662046,0
MutualInfo_Classification,55.0,55,0.47333333333333333,0.019688939051854835,15
MutualInfo_Classification,50.0,50,0.4733333333333333,0.023674750836291673,14
MutualInfo_Regression,45.0,45,0.4722222222222222,0.020786985482077452,28
RFE,5.0,5,0.47000000000000003,0.02910177967490845,34
MutualInfo_Regression,55.0,55,0.4677777777777778,0.015475986974649015,30
MutualInfo_Regression,70.0,70,0.4655555555555556,0.011863420280034788,32
MutualInfo_Regression,2.0,2,0.4655555555555556,0.019688939051854832,18
MutualInfo_Classification,2.0,2,0.4655555555555556,0.019688939051854832,3
MutualInfo_Regression,60.0,60,0.46111111111111114,0.01648044108243482,31
RFE,2.0,2,0.45666666666666667,0.02419060117453026,33
